,"Monolinolenin (9c,12c,15c)",6''-O-Acetyldaidzin,Methyl N-methylanthranilate,Formononetin,6''-Malonylastragalin,(E)-3-Hexadecenoic acid,Thr-Cys(Trioxidation),6''-O-Acetylgenistin,beta-D-Glucuronopyranosyl-(1->3)-alpha-D-galacturonopyranosyl-(1->2)-L-rhamnose,6''-Malonylgenistin,6''-O-Malonyldaidzin,Daidzein,"(9Z,11E,13E,15Z)-4-Oxo-9,11,13,15-octadecatetraenoic acid",Linolenelaidic acid,"4E,15Z-Bilirubin IXa",L-Tryptophan,6''-Malonylgenistin,"Dilinolenin (9c,12c,15c)","2,3-Dihydro-2,3-dihydroxy-4-(4-methoxyphenyl)-1H-phenalen-1-one",Licoagroside B,L-Arginine,"9,12-Octadecadiynoic Acid","DG(14:0/20:3(8Z,11Z,14Z)/0:0)","1,2-Di-(9Z,12Z,15Z-octadecatrienoyl)-3-(Galactosyl-alpha-1-6-Galactosyl-beta-1)-glycerol",alpha-Rhamnorobin
6''-O-Malonyldaidzin,0.15751669318269407,0.5967475383591931,0.6199069806031694,0.32105266359151236,0.22962209979993026,0.4400020972395527,0.651968953440017,0.6780069213545761,0.5593974797279755,0.40981430451613693,1.0,0.5129980619505027,0.28952771797108007,0.27952922734135344,0.6327714990672386,0.7721247740695265,0.5081646892928414,0.7017266077231146,0.23850869899843002,0.5973749273777411,0.7113881757071517,0.8774395622808044,0.7855760433396637,0.5766930856673322,0.27532726935101837
Daidzein,0.7357130734245969,0.5514544740700729,0.46065648127583053,0.7157865277978837,0.47850697834505274,0.7043979817804662,0.48515049372255764,0.5964025764205799,0.3929385687667811,0.4295262517185149,0.5129980619505027,1.0,0.3105505080249213,0.5710009180696458,0.617060739505682,0.15626741125517796,0.49370507790000967,0.4476817835119259,0.5047004717636632,0.08625344649667133,0.4702431481727116,0.8098204718880111,0.21439259450287695,0.3493769019638321,0.4423789319514053
"(9Z,11E,13E,15Z)-4-Oxo-9,11,13,15-octadecatetraenoic acid",0.4420621809845147,0.31451337278726593,0.6846863153810179,0.6374936864267098,0.8278944930326173,0.8394355191788563,0.574915029531045,0.43907864227035415,0.7235737271356522,0.14757410884676403,0.28952771797108007,0.3105505080249213,1.0,0.8331531370289744,0.6471165055018613,0.4367068749367104,0.679780045675913,0.497577189680601,0.45124096096825467,0.2656030438784128,0.7409775740300668,0.48097201222163,0.3982844261522505,0.20440680942829603,0.7913828350770509
Linolenelaidic acid,0.47511801368702233,0.6192935395117788,0.48423703646397076,0.6534064025020583,0.5279256845327872,0.3598011405152778,0.6468103972695638,0.2720220334928812,0.170170974983738,0.3457374689644603,0.27952922734135344,0.5710009180696458,0.8331531370289744,1.0,0.3217254749834682,0.6211153133788454,0.5234548294519259,0.4397220485332557,0.5086102071675663,0.6744581092369661,0.7409569937763124,0.5428188930888687,0.029924337719963223,0.25132922679212183,0.35380947383155414
"4E,15Z-Bilirubin IXa",0.34248061289359416,0.6483211674639617,0.4698140706531629,0.3175746761216895,0.35198625195542665,0.8071006804636381,0.05840054029801506,0.4138139360869575,0.8262047313862467,0.37629242864146395,0.6327714990672386,0.617060739505682,0.6471165055018613,0.3217254749834682,1.0,0.5964686885340191,0.7965138879968567,0.49334971129898175,0.5789818416319192,0.4798125423830409,0.07299833574180803,0.07369062040152236,0.2225152597812627,0.4174547334643256,0.4723836362835031
L-Tryptophan,0.25119007007359756,0.4834567729071167,0.28298400944703717,0.46703136426361874,0.5766576824805588,0.5403060612818837,0.7660198304766943,0.3610228072928916,0.5573605505119266,0.8377648140784,0.7721247740695265,0.15626741125517796,0.4367068749367104,0.6211153133788454,0.5964686885340191,1.0,0.4305315994448731,0.22842789993898754,0.5756417701328504,0.3982301465193654,0.47856215005040836,0.9062318895508671,0.5094558571148258,0.44484912022045375,0.8377076373082477
6''-Malonylgenistin,0.20368305589773517,0.6988649083954184,0.3230882987113099,0.7698511266653683,0.5618608389648632,0.5736527621607823,0.3549908718529495,0.45402670471681256,0.6153908372892657,0.5226076268943605,0.5081646892928414,0.49370507790000967,0.679780045675913,0.5234548294519259,0.7965138879968567,0.4305315994448731,1.0,0.6576520619355457,0.4791152711794496,0.6862535636196083,0.5840212053019491,0.697896388622717,0.24172507407421134,0.567647524752898,0.05931835993575402
"Dilinolenin (9c,12c,15c)",0.5371426569779867,0.2379595112442977,0.8449505817561698,0.555850030584488,0.15181853765682085,0.32012009397261065,0.47401457105866324,0.7593180602397958,0.4238070406204072,0.499485598167723,0.7017266077231146,0.4476817835119259,0.497577189680601,0.4397220485332557,0.49334971129898175,0.22842789993898754,0.6576520619355457,1.0,0.6196206376281757,0.5450903751193177,0.8789009540828459,0.6073219346631669,0.5954265536413353,0.2790698349650303,0.18018918242293624
"2,3-Dihydro-2,3-dihydroxy-4-(4-methoxyphenyl)-1H-phenalen-1-one",0.6045459672847763,0.7338623259072936,0.24938632646337355,0.7338157913321162,0.5018782403980646,0.3967517070538144,0.026064393161091493,0.5508810496336971,0.352968087364526,0.24448830826175816,0.23850869899843002,0.5047004717636632,0.45124096096825467,0.5086102071675663,0.5789818416319192,0.5756417701328504,0.4791152711794496,0.6196206376281757,1.0,0.5756718495821863,0.4997153020023804,0.8207897555567478,0.47365930322216226,0.6184051985109671,0.6669511944396807
Licoagroside B,0.6420969681586711,0.1662882731677079,0.770370610500919,0.87013485778683,0.5312200430428997,0.4571195662563651,0.6433208160864294,0.39678542790823695,0.7383907452891207,0.29988546422598383,0.5973749273777411,0.08625344649667133,0.2656030438784128,0.6744581092369661,0.4798125423830409,0.3982301465193654,0.6862535636196083,0.5450903751193177,0.5756718495821863,1.0,0.2518845595647905,0.600892176154384,0.2129950519941426,0.9355916087860892,0.8672352174316307
L-Arginine,0.6550073043710622,0.5993093253490511,0.5408861927914925,0.6537953080356698,0.7460856638589709,0.09975194334971205,0.7942457731680624,0.5858734087679149,0.8037064027961337,0.8270190354880427,0.7113881757071517,0.4702431481727116,0.7409775740300668,0.7409569937763124,0.07299833574180803,0.47856215005040836,0.5840212053019491,0.8789009540828459,0.4997153020023804,0.2518845595647905,1.0,0.369526787331931,0.741951943487207,0.6580402816992905,0.5114248620337576
"9,12-Octadecadiynoic Acid",0.30409351022350606,0.36326528921353807,0.23606137673243932,0.2895541630164606,0.8804068380892732,0.7112326715549873,0.5081527511069934,0.8612962579720724,0.5618701544690495,0.5985857817489124,0.8774395622808044,0.8098204718880111,0.48097201222163,0.5428188930888687,0.07369062040152236,0.9062318895508671,0.697896388622717,0.6073219346631669,0.8207897555567478,0.600892176154384,0.369526787331931,1.0,0.7276131041669713,0.5939327197124102,0.4908338575361748
"DG(14:0/20:3(8Z,11Z,14Z)/0:0)",0.40615407482360577,0.6861247607481755,0.27871447794904397,0.49423949494696795,0.5973285388151044,0.45308094472062926,0.32305414337496086,0.46294646813295803,0.42440601175085574,0.7934821851985672,0.7855760433396637,0.21439259450287695,0.3982844261522505,0.029924337719963223,0.2225152597812627,0.5094558571148258,0.24172507407421134,0.5954265536413353,0.47365930322216226,0.2129950519941426,0.741951943487207,0.7276131041669713,1.0,0.39720328571475166,0.6164179057690635
"1,2-Di-(9Z,12Z,15Z-octadecatrienoyl)-3-(Galactosyl-alpha-1-6-Galactosyl-beta-1)-glycerol",0.6579412334756669,0.3468918801361588,0.8710245268081642,0.2587677099118167,0.18414815641331755,0.25530725374412533,0.6032641752417075,0.6898522591289935,0.34823370667347087,0.7985104157029893,0.5766930856673322,0.3493769019638321,0.20440680942829603,0.25132922679212183,0.4174547334643256,0.44484912022045375,0.567647524752898,0.2790698349650303,0.6184051985109671,0.9355916087860892,0.6580402816992905,0.5939327197124102,0.39720328571475166,1.0,0.2626958007287501
alpha-Rhamnorobin,0.31250252364460024,0.23172239727874283,0.44193391406218197,0.09829698037518003,0.17428551682127125,0.3697126161346686,0.4257532544076212,0.5720727034528497,0.38430981926829116,0.7717021420483627,0.27532726935101837,0.4423789319514053,0.7913828350770509,0.35380947383155414,0.4723836362835031,0.8377076373082477,0.05931835993575402,0.18018918242293624,0.6669511944396807,0.8672352174316307,0.5114248620337576,0.4908338575361748,0.6164179057690635,0.2626958007287501,1.0
