Rank,TF_ID,TF_Name,Enzyme_ID,Enzyme_Name,Score,TF_Desc,Enzyme_Desc
11,3847.I1NFB9,I1NFB9_SOYBN,3847.A6BM07,GmIF7GT1,0.9959575533866882,Diphosphomevalonate decarboxylase; Performs the first committed step in the biosynthesis of isoprene-containing compounds such as sterols and terpenoids. Belongs to the diphosphomevalonate decarboxylase family.,"Isoflavone 7-O-glucosyltransferase 1; Involved in the biosynthesis of isoflavonoids. Specific for UDP-glucose. Can use genistein > daidzein > formononetin > quercetin > kaempferol > 4,2',4',6'-tetrahydroxychalcone > apigenin > aureusidin > esculetin > naringenin as substrates, but not cyanidin, trans-p- coumaric acid, caffeic acid, benzoic acid, m- and p-hydroxybenzoic acids, salicylic acid, salicyl alcohol, and hydroquinone."
12,3847.I1NFB9,I1NFB9_SOYBN,3847.I1JPX3,I1JPX3_SOYBN,0.9959204196929932,Diphosphomevalonate decarboxylase; Performs the first committed step in the biosynthesis of isoprene-containing compounds such as sterols and terpenoids. Belongs to the diphosphomevalonate decarboxylase family.,Protein kinase domain-containing protein.
13,3847.I1N4K6,I1N4K6_SOYBN,3847.I1JA26,I1JA26_SOYBN,0.9958654642105103,Uncharacterized protein; Belongs to the class I-like SAM-binding methyltransferase superfamily. Cation-independent O-methyltransferase family.,"3-hydroxy-3-methylglutaryl coenzyme A synthase; This enzyme condenses acetyl-CoA with acetoacetyl-CoA to form HMG-CoA, which is the substrate for HMG-CoA reductase."
14,3847.A0A0R0J1V3,A0A0R0J1V3,3847.A6BM07,GmIF7GT1,0.9958368539810181,Protein kinase domain-containing protein; Belongs to the protein kinase superfamily.,"Isoflavone 7-O-glucosyltransferase 1; Involved in the biosynthesis of isoflavonoids. Specific for UDP-glucose. Can use genistein > daidzein > formononetin > quercetin > kaempferol > 4,2',4',6'-tetrahydroxychalcone > apigenin > aureusidin > esculetin > naringenin as substrates, but not cyanidin, trans-p- coumaric acid, caffeic acid, benzoic acid, m- and p-hydroxybenzoic acids, salicylic acid, salicyl alcohol, and hydroquinone."
15,3847.I1LF24,I1LF24_SOYBN,3847.Q5NUF3,HIDH,0.9958207607269287,Diphosphomevalonate decarboxylase; Performs the first committed step in the biosynthesis of isoprene-containing compounds such as sterols and terpenoids. Belongs to the diphosphomevalonate decarboxylase family.,2-hydroxyisoflavanone dehydratase; Dehydratase that mediates the biosynthesis of isoflavonoids. Can use both 4'-hydroxylated and 4'-methoxylated 2-hydroxyisoflavanones as substrates. Has also a slight carboxylesterase activity toward p- nitrophenyl butyrate; Belongs to the 'GDXG' lipolytic enzyme family.
16,3847.I1N4K6,I1N4K6_SOYBN,3847.I1JZA5,I1JZA5_SOYBN,0.9957543611526489,Uncharacterized protein; Belongs to the class I-like SAM-binding methyltransferase superfamily. Cation-independent O-methyltransferase family.,Protein kinase domain-containing protein.
17,3847.A0A0R4J446,A0A0R4J446,3847.A6BM07,GmIF7GT1,0.9956607222557068,Protein kinase domain-containing protein; Belongs to the protein kinase superfamily.,"Isoflavone 7-O-glucosyltransferase 1; Involved in the biosynthesis of isoflavonoids. Specific for UDP-glucose. Can use genistein > daidzein > formononetin > quercetin > kaempferol > 4,2',4',6'-tetrahydroxychalcone > apigenin > aureusidin > esculetin > naringenin as substrates, but not cyanidin, trans-p- coumaric acid, caffeic acid, benzoic acid, m- and p-hydroxybenzoic acids, salicylic acid, salicyl alcohol, and hydroquinone."
18,3847.I1NFB9,I1NFB9_SOYBN,3847.I1LZF4,I1LZF4_SOYBN,0.9956570863723755,Diphosphomevalonate decarboxylase; Performs the first committed step in the biosynthesis of isoprene-containing compounds such as sterols and terpenoids. Belongs to the diphosphomevalonate decarboxylase family.,Protein kinase domain-containing protein.
19,3847.A0A0R0GDY6,A0A0R0GDY6,3847.Q5NUF3,HIDH,0.9955995082855225,Uncharacterized protein; Belongs to the thiolase-like superfamily. Thiolase family.,2-hydroxyisoflavanone dehydratase; Dehydratase that mediates the biosynthesis of isoflavonoids. Can use both 4'-hydroxylated and 4'-methoxylated 2-hydroxyisoflavanones as substrates. Has also a slight carboxylesterase activity toward p- nitrophenyl butyrate; Belongs to the 'GDXG' lipolytic enzyme family.
20,3847.I1N4K6,I1N4K6_SOYBN,3847.I1LCP7,I1LCP7_SOYBN,0.995583713054657,Uncharacterized protein; Belongs to the class I-like SAM-binding methyltransferase superfamily. Cation-independent O-methyltransferase family.,Protein kinase domain-containing protein.
