enzyme_idx,string_id,uniprot_id
166,3847.A0A0R0FWL3,A0A0R0FWL3
167,3847.A0A0R0FWP2,A0A0R0FWP2
168,3847.A0A0R0FX70,A0A0R0FX70
169,3847.A0A0R0FX72,A0A0R0FX72
170,3847.A0A0R0FXW5,A0A0R0FXW5
171,3847.A0A0R0FYJ2,A0A0R0FYJ2
172,3847.A0A0R0FYS5,A0A0R0FYS5
173,3847.A0A0R0FYZ9,A0A0R0FYZ9
174,3847.A0A0R0FZ28,A0A0R0FZ28
175,3847.A0A0R0FZ89,A0A0R0FZ89
176,3847.A0A0R0FZL0,A0A0R0FZL0
177,3847.A0A0R0G011,A0A0R0G011
178,3847.A0A0R0G0J0,A0A0R0G0J0
179,3847.A0A0R0G0T0,A0A0R0G0T0
180,3847.A0A0R0G164,A0A0R0G164
181,3847.A0A0R0G1N4,A0A0R0G1N4
182,3847.A0A0R0G1U8,A0A0R0G1U8
183,3847.A0A0R0G3Q4,A0A0R0G3Q4
184,3847.A0A0R0G3T6,A0A0R0G3T6
185,3847.A0A0R0G4A7,A0A0R0G4A7
186,3847.A0A0R0G4E6,A0A0R0G4E6
187,3847.A0A0R0G587,A0A0R0G587
188,3847.A0A0R0G5A6,A0A0R0G5A6
189,3847.A0A0R0G5G0,A0A0R0G5G0
190,3847.A0A0R0G5G5,A0A0R0G5G5
191,3847.A0A0R0G5N0,A0A0R0G5N0
192,3847.A0A0R0G5Y0,A0A0R0G5Y0
193,3847.A0A0R0G645,A0A0R0G645
194,3847.A0A0R0G697,A0A0R0G697
195,3847.A0A0R0G6N2,A0A0R0G6N2
196,3847.A0A0R0G6Z9,A0A0R0G6Z9
197,3847.A0A0R0G721,A0A0R0G721
198,3847.A0A0R0G7K9,A0A0R0G7K9
199,3847.A0A0R0G7R4,A0A0R0G7R4
200,3847.A0A0R0G7S7,A0A0R0G7S7
201,3847.A0A0R0G7Y4,A0A0R0G7Y4
202,3847.A0A0R0G822,A0A0R0G822
203,3847.A0A0R0G8E5,A0A0R0G8E5
204,3847.A0A0R0G8H7,A0A0R0G8H7
205,3847.A0A0R0G8W2,A0A0R0G8W2
206,3847.A0A0R0G9C9,A0A0R0G9C9
207,3847.A0A0R0G9G7,A0A0R0G9G7
208,3847.A0A0R0G9P8,A0A0R0G9P8
209,3847.A0A0R0G9R2,A0A0R0G9R2
210,3847.A0A0R0G9Z9,A0A0R0G9Z9
211,3847.A0A0R0GA65,A0A0R0GA65
212,3847.A0A0R0GA79,A0A0R0GA79
213,3847.A0A0R0GAF9,A0A0R0GAF9
214,3847.A0A0R0GAP8,A0A0R0GAP8
215,3847.A0A0R0GB23,A0A0R0GB23
216,3847.A0A0R0GBI0,A0A0R0GBI0
217,3847.A0A0R0GBL0,A0A0R0GBL0
218,3847.A0A0R0GBV4,A0A0R0GBV4
219,3847.A0A0R0GCI8,A0A0R0GCI8
220,3847.A0A0R0GCN7,A0A0R0GCN7
221,3847.A0A0R0GCZ8,A0A0R0GCZ8
222,3847.A0A0R0GDJ8,A0A0R0GDJ8
223,3847.A0A0R0GDX2,A0A0R0GDX2
224,3847.A0A0R0GEB7,A0A0R0GEB7
225,3847.A0A0R0GFK8,A0A0R0GFK8
226,3847.A0A0R0GFW6,A0A0R0GFW6
227,3847.A0A0R0GFX1,A0A0R0GFX1
228,3847.A0A0R0GG41,A0A0R0GG41
229,3847.A0A0R0GGF4,A0A0R0GGF4
230,3847.A0A0R0GGP3,A0A0R0GGP3
231,3847.A0A0R0GHL3,A0A0R0GHL3
232,3847.A0A0R0GHM5,A0A0R0GHM5
233,3847.A0A0R0GHM8,A0A0R0GHM8
234,3847.A0A0R0GHQ0,A0A0R0GHQ0
235,3847.A0A0R0GI21,A0A0R0GI21
236,3847.A0A0R0GIH9,A0A0R0GIH9
237,3847.A0A0R0GIJ9,A0A0R0GIJ9
238,3847.A0A0R0GIK5,A0A0R0GIK5
239,3847.A0A0R0GIX6,A0A0R0GIX6
240,3847.A0A0R0GJ77,A0A0R0GJ77
241,3847.A0A0R0GJA9,A0A0R0GJA9
242,3847.A0A0R0GJD8,A0A0R0GJD8
243,3847.A0A0R0GJG2,A0A0R0GJG2
244,3847.A0A0R0GKX8,A0A0R0GKX8
245,3847.A0A0R0GL67,A0A0R0GL67
246,3847.A0A0R0GLB6,A0A0R0GLB6
247,3847.A0A0R0GLE4,A0A0R0GLE4
248,3847.A0A0R0GLW2,A0A0R0GLW2
249,3847.A0A0R0GN50,A0A0R0GN50
250,3847.A0A0R0GQM1,A0A0R0GQM1
251,3847.A0A0R0GRJ8,A0A0R0GRJ8
252,3847.A0A0R0GRQ7,A0A0R0GRQ7
253,3847.A0A0R0GSP5,A0A0R0GSP5
254,3847.A0A0R0GSW1,A0A0R0GSW1
255,3847.A0A0R0GSW4,A0A0R0GSW4
256,3847.A0A0R0GT69,A0A0R0GT69
257,3847.A0A0R0GU41,A0A0R0GU41
258,3847.A0A0R0GU87,A0A0R0GU87
259,3847.A0A0R0GUE5,A0A0R0GUE5
260,3847.A0A0R0GUE9,A0A0R0GUE9
261,3847.A0A0R0GVB3,A0A0R0GVB3
262,3847.A0A0R0GWU1,A0A0R0GWU1
263,3847.A0A0R0GWU7,A0A0R0GWU7
264,3847.A0A0R0GWV0,A0A0R0GWV0
265,3847.A0A0R0GWV9,A0A0R0GWV9
266,3847.A0A0R0GX78,A0A0R0GX78
267,3847.A0A0R0GYZ9,A0A0R0GYZ9
268,3847.A0A0R0GZF7,A0A0R0GZF7
269,3847.A0A0R0GZH7,A0A0R0GZH7
270,3847.A0A0R0GZR9,A0A0R0GZR9
271,3847.A0A0R0H094,A0A0R0H094
272,3847.A0A0R0H0R3,A0A0R0H0R3
273,3847.A0A0R0H0T7,A0A0R0H0T7
274,3847.A0A0R0H0V4,A0A0R0H0V4
275,3847.A0A0R0H1Q3,A0A0R0H1Q3
276,3847.A0A0R0H1X9,A0A0R0H1X9
277,3847.A0A0R0H291,A0A0R0H291
278,3847.A0A0R0H2F3,A0A0R0H2F3
279,3847.A0A0R0H3F3,A0A0R0H3F3
280,3847.A0A0R0H3H1,A0A0R0H3H1
281,3847.A0A0R0H3X6,A0A0R0H3X6
282,3847.A0A0R0H4C9,A0A0R0H4C9
283,3847.A0A0R0H4D4,A0A0R0H4D4
284,3847.A0A0R0H4X2,A0A0R0H4X2
285,3847.A0A0R0H610,A0A0R0H610
286,3847.A0A0R0H668,A0A0R0H668
287,3847.A0A0R0H689,A0A0R0H689
288,3847.A0A0R0H697,A0A0R0H697
289,3847.A0A0R0H721,A0A0R0H721
290,3847.A0A0R0H7W3,A0A0R0H7W3
291,3847.A0A0R0H8S0,A0A0R0H8S0
292,3847.A0A0R0H9A9,A0A0R0H9A9
293,3847.A0A0R0HA10,A0A0R0HA10
294,3847.A0A0R0HAM0,A0A0R0HAM0
295,3847.A0A0R0HAT7,A0A0R0HAT7
296,3847.A0A0R0HBG9,A0A0R0HBG9
297,3847.A0A0R0HCD7,A0A0R0HCD7
298,3847.A0A0R0HCH7,A0A0R0HCH7
299,3847.A0A0R0HCJ5,A0A0R0HCJ5
300,3847.A0A0R0HCY3,A0A0R0HCY3
301,3847.A0A0R0HDQ7,A0A0R0HDQ7
302,3847.A0A0R0HEF7,A0A0R0HEF7
303,3847.A0A0R0HEI5,A0A0R0HEI5
304,3847.A0A0R0HEM4,A0A0R0HEM4
305,3847.A0A0R0HES2,A0A0R0HES2
306,3847.A0A0R0HEZ8,A0A0R0HEZ8
307,3847.A0A0R0HF22,A0A0R0HF22
308,3847.A0A0R0HFK7,A0A0R0HFK7
309,3847.A0A0R0HFN7,A0A0R0HFN7
310,3847.A0A0R0HFU2,A0A0R0HFU2
311,3847.A0A0R0HG00,A0A0R0HG00
312,3847.A0A0R0HGX7,A0A0R0HGX7
313,3847.A0A0R0HHS7,A0A0R0HHS7
314,3847.A0A0R0HI48,A0A0R0HI48
315,3847.A0A0R0HID0,A0A0R0HID0
316,3847.A0A0R0HID3,A0A0R0HID3
317,3847.A0A0R0HID4,A0A0R0HID4
318,3847.A0A0R0HID7,A0A0R0HID7
319,3847.A0A0R0HID8,A0A0R0HID8
320,3847.A0A0R0HIG3,A0A0R0HIG3
321,3847.A0A0R0HIW7,A0A0R0HIW7
322,3847.A0A0R0HJ01,A0A0R0HJ01
323,3847.A0A0R0HJB7,A0A0R0HJB7
324,3847.A0A0R0HJJ7,A0A0R0HJJ7
325,3847.A0A0R0HLQ5,A0A0R0HLQ5
326,3847.A0A0R0HLV3,A0A0R0HLV3
327,3847.A0A0R0HLZ4,A0A0R0HLZ4
328,3847.A0A0R0HNR3,A0A0R0HNR3
329,3847.A0A0R0HP14,A0A0R0HP14
330,3847.A0A0R0HP60,A0A0R0HP60
331,3847.A0A0R0HPS7,A0A0R0HPS7
332,3847.A0A0R0HPY5,A0A0R0HPY5
333,3847.A0A0R0HR03,A0A0R0HR03
334,3847.A0A0R0HRA5,A0A0R0HRA5
335,3847.A0A0R0HRG1,A0A0R0HRG1
336,3847.A0A0R0HRG3,A0A0R0HRG3
337,3847.A0A0R0HRL5,A0A0R0HRL5
338,3847.A0A0R0HRW1,A0A0R0HRW1
339,3847.A0A0R0HRZ0,A0A0R0HRZ0
340,3847.A0A0R0HT11,A0A0R0HT11
341,3847.A0A0R0HTA4,A0A0R0HTA4
342,3847.A0A0R0HTR7,A0A0R0HTR7
343,3847.A0A0R0HUX5,A0A0R0HUX5
344,3847.A0A0R0HWM9,A0A0R0HWM9
