ChEBI,Name,Control_Mean,Ethylene_Mean,Log2FC,P_Value,KEGG,q_value
CHEBI:142272,"PIP(18:1(11Z)/20:4(5Z,8Z,11Z,14Z))",3.9575,3.82,-0.0510035936899132,0.325916856364901,,0.42912386088045296
CHEBI:8286,Pollinastanol,4.2575,4.262499999999999,0.0016929068369297,0.9526927256574688,C08833,0.9984423233312085
CHEBI:142273,Polyoxyethylene (600) monoricinoleate,5.867500000000001,5.865,-0.0006147237047665,0.9590138133029602,,0.9984423233312085
CHEBI:142274,Rhodinyl phenylacetate,4.16,3.74,-0.1535063224939328,0.0167430943630315,,0.033915498837935605
CHEBI:142274,Rhodinyl phenylacetate,4.66,4.525,-0.0424029282720516,0.0022108953834415,,0.0060227839755820165
CHEBI:8878,Robinin,4.1,2.965,-0.4674571458725858,0.0185440175428599,C10178,0.036624434647148305
CHEBI:142275,Sedanonic acid,2.375,4.5275,0.9304984214340156,0.0733517906028359,C17875,0.12597372733965298
CHEBI:142276,Soyacerebroside I,3.655,4.33,0.2444341020094986,0.0101567619051741,,0.0229252625859644
CHEBI:62867,Soyasaponin III,4.925,4.9875,0.0181894466668586,0.2804353213245137,C19865,0.38197224801097557
CHEBI:142239,Thr-Cys(Trioxidation),4.717499999999999,5.0875,0.1089121348075222,1.1906712242023909e-07,,1.343757524456984e-06
CHEBI:18123,Trigonelline,4.975,5.0225,0.0137063912972695,0.0078284922401867,C01004,0.01876737847088831
CHEBI:75011,Val-Glu,0.0,0.0,0.0,1.0,,1.0
CHEBI:142277,Yucalexin P8,3.65,3.997500000000001,0.131167219122007,0.0468621639465245,,0.0860956035296613
