Protein IDs,Gene names,Protein names,Fasta headers,Log2FC,P_Value,Mean_Control,Mean_Ethylene
Glyma.02G091200.1.p,,,Glyma.02G091200.1.p pacid=30508662 transcript=Glyma.02G091200.1 locus=Glyma.02G091200 ID=Glyma.02G091200.1.Wm82.a2.v1 annot-version=Wm82.a2.v1,0.0,1.0,70960.0,70960.0
Glyma.18G291800.3.p;Glyma.18G291800.2.p;Glyma.18G291800.1.p;Glyma.02G091300.4.p;Glyma.02G091300.3.p;Glyma.02G091300.2.p;Glyma.02G091300.1.p,,,Glyma.18G291800.3.p pacid=30555867 transcript=Glyma.18G291800.3 locus=Glyma.18G291800 ID=Glyma.18G291800.3.Wm82.a2.v1 annot-version=Wm82.a2.v1;Glyma.18G291800.2.p pacid=30555865 transcript=Glyma.18G291800.2 locus=Glyma.18G291800 ID=Glyma.18G291800.2.Wm82.a,-4.100779852189244,0.4226497308103741,1217506.6666666667,70960.0
Glyma.18G290200.3.p;Glyma.18G290200.2.p;Glyma.18G290200.1.p;Glyma.02G092400.1.p,,,Glyma.18G290200.3.p pacid=30558210 transcript=Glyma.18G290200.3 locus=Glyma.18G290200 ID=Glyma.18G290200.3.Wm82.a2.v1 annot-version=Wm82.a2.v1;Glyma.18G290200.2.p pacid=30558209 transcript=Glyma.18G290200.2 locus=Glyma.18G290200 ID=Glyma.18G290200.2.Wm82.a,2.9220991399304856,0.4226497308103742,70960.0,537840.0
Glyma.18G287600.1.p;Glyma.10G290000.1.p;Glyma.02G094100.1.p;Glyma.15G040600.2.p;Glyma.15G040600.1.p;Glyma.11G142300.2.p;Glyma.18G287600.2.p;Glyma.13G333500.3.p,,,Glyma.18G287600.1.p pacid=30556747 transcript=Glyma.18G287600.1 locus=Glyma.18G287600 ID=Glyma.18G287600.1.Wm82.a2.v1 annot-version=Wm82.a2.v1;Glyma.10G290000.1.p pacid=30478184 transcript=Glyma.10G290000.1 locus=Glyma.10G290000 ID=Glyma.10G290000.1.Wm82.a,3.888301673276149,0.4226497308103742,70960.0,1050773.3333333333
Glyma.02G094900.1.p,,,Glyma.02G094900.1.p pacid=30509646 transcript=Glyma.02G094900.1 locus=Glyma.02G094900 ID=Glyma.02G094900.1.Wm82.a2.v1 annot-version=Wm82.a2.v1,0.1856753908655914,0.5669817538718518,6162633333.333333,7009066666.666667
Glyma.02G095200.1.p,,,Glyma.02G095200.1.p pacid=30508866 transcript=Glyma.02G095200.1 locus=Glyma.02G095200 ID=Glyma.02G095200.1.Wm82.a2.v1 annot-version=Wm82.a2.v1,0.0221652135452861,0.9181451294653452,263310000.0,267386666.66666663
Glyma.02G097400.2.p;Glyma.02G097400.1.p,,,Glyma.02G097400.2.p pacid=30508530 transcript=Glyma.02G097400.2 locus=Glyma.02G097400 ID=Glyma.02G097400.2.Wm82.a2.v1 annot-version=Wm82.a2.v1;Glyma.02G097400.1.p pacid=30508529 transcript=Glyma.02G097400.1 locus=Glyma.02G097400 ID=Glyma.02G097400.1.Wm82.a,-0.7824981978836145,0.0210025198920397,12340333.333333334,7174166.666666667
Glyma.02G098300.1.p;Glyma.02G098500.3.p;Glyma.02G098500.10.p;Glyma.01G086600.9.p;Glyma.02G098500.13.p;Glyma.02G098500.12.p;Glyma.01G086600.10.p;Glyma.02G098500.4.p;Glyma.02G098500.7.p;Glyma.02G098500.2.p;Glyma.02G098500.11.p;Glyma.02G098500.8.p;Glyma.02G098500.6.p;Glyma.02G098500.5.p;Glyma.01G086600.6.p;Glyma.01G086600.5.p;Glyma.01G086600.3.p;Glyma.01G086600.2.p;Glyma.01G086600.8.p;Glyma.02G098500.9.p;Glyma.02G098500.1.p;Glyma.01G086600.7.p;Glyma.01G086600.4.p;Glyma.01G086600.1.p,,,Glyma.02G098300.1.p pacid=30510361 transcript=Glyma.02G098300.1 locus=Glyma.02G098300 ID=Glyma.02G098300.1.Wm82.a2.v1 annot-version=Wm82.a2.v1,0.6251814496950354,0.4494664583767959,29644833.33333333,45724333.333333336
Glyma.02G098700.1.p;Glyma.02G098700.2.p,,,Glyma.02G098700.1.p pacid=30506909 transcript=Glyma.02G098700.1 locus=Glyma.02G098700 ID=Glyma.02G098700.1.Wm82.a2.v1 annot-version=Wm82.a2.v1;Glyma.02G098700.2.p pacid=30506910 transcript=Glyma.02G098700.2 locus=Glyma.02G098700 ID=Glyma.02G098700.2.Wm82.a,-0.4664527646298593,0.0281314308726766,506193333.3333333,366353333.3333333
Glyma.02G099300.1.p;Glyma.02G099300.2.p,,,Glyma.02G099300.1.p pacid=30506288 transcript=Glyma.02G099300.1 locus=Glyma.02G099300 ID=Glyma.02G099300.1.Wm82.a2.v1 annot-version=Wm82.a2.v1;Glyma.02G099300.2.p pacid=30506289 transcript=Glyma.02G099300.2 locus=Glyma.02G099300 ID=Glyma.02G099300.2.Wm82.a,0.2434038656694822,0.3281249749725449,228023333.3333333,269930000.0
Glyma.02G101100.1.p;Glyma.01G089300.2.p;Glyma.01G089300.3.p;Glyma.01G089300.1.p;Glyma.20G185300.1.p,,,Glyma.02G101100.1.p pacid=30508213 transcript=Glyma.02G101100.1 locus=Glyma.02G101100 ID=Glyma.02G101100.1.Wm82.a2.v1 annot-version=Wm82.a2.v1;Glyma.01G089300.2.p pacid=30545093 transcript=Glyma.01G089300.2 locus=Glyma.01G089300 ID=Glyma.01G089300.2.Wm82.a,-0.8666484020185483,0.2463559224281825,5307166.666666667,2910553.333333333
Glyma.02G101700.3.p;Glyma.02G101700.2.p;Glyma.02G101700.1.p;Glyma.02G101500.2.p;Glyma.02G101500.1.p;Glyma.01G153100.2.p;Glyma.01G153100.1.p,,,Glyma.02G101700.3.p pacid=30510530 transcript=Glyma.02G101700.3 locus=Glyma.02G101700 ID=Glyma.02G101700.3.Wm82.a2.v1 annot-version=Wm82.a2.v1;Glyma.02G101700.2.p pacid=30510531 transcript=Glyma.02G101700.2 locus=Glyma.02G101700 ID=Glyma.02G101700.2.Wm82.a,0.2246872238915936,0.9174951734905842,8198640.0,9580306.666666666
Glyma.02G102400.2.p;Glyma.07G213700.2.p;Glyma.02G102400.1.p;Glyma.07G213700.3.p;Glyma.07G213700.1.p,,,Glyma.02G102400.2.p pacid=30507601 transcript=Glyma.02G102400.2 locus=Glyma.02G102400 ID=Glyma.02G102400.2.Wm82.a2.v1 annot-version=Wm82.a2.v1;Glyma.07G213700.2.p pacid=30493685 transcript=Glyma.07G213700.2 locus=Glyma.07G213700 ID=Glyma.07G213700.2.Wm82.a,0.335728606742659,0.3593970577887111,14378333.333333334,18145666.666666668
Glyma.02G103500.1.p,,,Glyma.02G103500.1.p pacid=30508573 transcript=Glyma.02G103500.1 locus=Glyma.02G103500 ID=Glyma.02G103500.1.Wm82.a2.v1 annot-version=Wm82.a2.v1,3.3255350883819865,0.0072483544289462,3781666.6666666665,37911333.333333336
Glyma.02G103600.1.p;Glyma.07G214900.1.p,,,Glyma.02G103600.1.p pacid=30510602 transcript=Glyma.02G103600.1 locus=Glyma.02G103600 ID=Glyma.02G103600.1.Wm82.a2.v1 annot-version=Wm82.a2.v1;Glyma.07G214900.1.p pacid=30493193 transcript=Glyma.07G214900.1 locus=Glyma.07G214900 ID=Glyma.07G214900.1.Wm82.a,-0.7987730992156449,0.0239232621025344,153126666.66666666,88023000.0
Glyma.02G103900.1.p,,,Glyma.02G103900.1.p pacid=30507695 transcript=Glyma.02G103900.1 locus=Glyma.02G103900 ID=Glyma.02G103900.1.Wm82.a2.v1 annot-version=Wm82.a2.v1,0.3362655619736085,0.2605294054250296,168276666.66666666,212446666.66666663
Glyma.02G104200.1.p,,,Glyma.02G104200.1.p pacid=30506419 transcript=Glyma.02G104200.1 locus=Glyma.02G104200 ID=Glyma.02G104200.1.Wm82.a2.v1 annot-version=Wm82.a2.v1,7.560106616130726,0.0986704127743435,70960.0,13391600.0
Glyma.02G104300.1.p;Glyma.07G215500.1.p;Glyma.02G104400.1.p,,,Glyma.02G104300.1.p pacid=30506655 transcript=Glyma.02G104300.1 locus=Glyma.02G104300 ID=Glyma.02G104300.1.Wm82.a2.v1 annot-version=Wm82.a2.v1,1.2003060813209236,0.0622751650332319,167783333.33333334,385546666.6666667
Glyma.02G104500.1.p,,,Glyma.02G104500.1.p pacid=30510444 transcript=Glyma.02G104500.1 locus=Glyma.02G104500 ID=Glyma.02G104500.1.Wm82.a2.v1 annot-version=Wm82.a2.v1,5.7283372458900645,0.0487824536623105,70960.0,3761966.6666666665
Glyma.02G105500.2.p;Glyma.02G105500.1.p;Glyma.01G044900.1.p,,,Glyma.02G105500.2.p pacid=30508136 transcript=Glyma.02G105500.2 locus=Glyma.02G105500 ID=Glyma.02G105500.2.Wm82.a2.v1 annot-version=Wm82.a2.v1;Glyma.02G105500.1.p pacid=30508135 transcript=Glyma.02G105500.1 locus=Glyma.02G105500 ID=Glyma.02G105500.1.Wm82.a,0.2687212544237622,0.2238649937385997,110278333.33333331,132856666.66666669
Glyma.02G109300.9.p;Glyma.02G109300.8.p;Glyma.02G109300.1.p;Glyma.02G109300.7.p;Glyma.02G109300.6.p;Glyma.02G109300.5.p;Glyma.02G109300.3.p;Glyma.02G109300.2.p;Glyma.02G109300.4.p,,,Glyma.02G109300.9.p pacid=30509833 transcript=Glyma.02G109300.9 locus=Glyma.02G109300 ID=Glyma.02G109300.9.Wm82.a2.v1 annot-version=Wm82.a2.v1;Glyma.02G109300.8.p pacid=30509832 transcript=Glyma.02G109300.8 locus=Glyma.02G109300 ID=Glyma.02G109300.8.Wm82.a,-0.5568294072729607,0.1698366030955327,53203333.333333336,36167333.333333336
Glyma.02G109400.1.p,,,Glyma.02G109400.1.p pacid=30510681 transcript=Glyma.02G109400.1 locus=Glyma.02G109400 ID=Glyma.02G109400.1.Wm82.a2.v1 annot-version=Wm82.a2.v1,0.3029348845468735,0.1022007071929323,27729333.33333333,34208333.333333336
Glyma.02G109900.1.p;Glyma.02G109900.2.p,,,Glyma.02G109900.1.p pacid=30509794 transcript=Glyma.02G109900.1 locus=Glyma.02G109900 ID=Glyma.02G109900.1.Wm82.a2.v1 annot-version=Wm82.a2.v1;Glyma.02G109900.2.p pacid=30509795 transcript=Glyma.02G109900.2 locus=Glyma.02G109900 ID=Glyma.02G109900.2.Wm82.a,-0.2565839121858501,0.1456890322095125,276863333.3333333,231753333.3333333
Glyma.02G112400.1.p;Glyma.02G112400.2.p;Glyma.01G054000.2.p;Glyma.01G054000.1.p;Glyma.01G054000.3.p,,,Glyma.02G112400.1.p pacid=30507074 transcript=Glyma.02G112400.1 locus=Glyma.02G112400 ID=Glyma.02G112400.1.Wm82.a2.v1 annot-version=Wm82.a2.v1;Glyma.02G112400.2.p pacid=30507075 transcript=Glyma.02G112400.2 locus=Glyma.02G112400 ID=Glyma.02G112400.2.Wm82.a,-0.2623713501358058,0.4174782844018347,79617000.0,66378000.0
Glyma.02G113500.3.p;Glyma.02G113500.2.p;Glyma.02G113500.1.p;Glyma.01G055000.1.p,,,Glyma.02G113500.3.p pacid=30509536 transcript=Glyma.02G113500.3 locus=Glyma.02G113500 ID=Glyma.02G113500.3.Wm82.a2.v1 annot-version=Wm82.a2.v1;Glyma.02G113500.2.p pacid=30509534 transcript=Glyma.02G113500.2 locus=Glyma.02G113500 ID=Glyma.02G113500.2.Wm82.a,0.5526386102928386,0.3449969904065957,14335166.666666666,21026333.33333333
Glyma.02G117000.4.p;Glyma.02G117000.3.p;Glyma.02G117000.1.p;Glyma.02G117000.2.p,,,Glyma.02G117000.4.p pacid=30508942 transcript=Glyma.02G117000.4 locus=Glyma.02G117000 ID=Glyma.02G117000.4.Wm82.a2.v1 annot-version=Wm82.a2.v1;Glyma.02G117000.3.p pacid=30508941 transcript=Glyma.02G117000.3 locus=Glyma.02G117000 ID=Glyma.02G117000.3.Wm82.a,-0.3158721922364293,0.6282512906786739,7026900.0,5645166.666666667
Glyma.02G120200.4.p;Glyma.02G120200.3.p;Glyma.02G120200.2.p;Glyma.02G120200.1.p,,,Glyma.02G120200.4.p pacid=30507128 transcript=Glyma.02G120200.4 locus=Glyma.02G120200 ID=Glyma.02G120200.4.Wm82.a2.v1 annot-version=Wm82.a2.v1;Glyma.02G120200.3.p pacid=30507127 transcript=Glyma.02G120200.3 locus=Glyma.02G120200 ID=Glyma.02G120200.3.Wm82.a,0.4967636103109508,0.1481334911991444,51246666.66666666,72311333.33333333
Glyma.02G120400.2.p;Glyma.02G120400.1.p,,,Glyma.02G120400.2.p pacid=30507562 transcript=Glyma.02G120400.2 locus=Glyma.02G120400 ID=Glyma.02G120400.2.Wm82.a2.v1 annot-version=Wm82.a2.v1;Glyma.02G120400.1.p pacid=30507561 transcript=Glyma.02G120400.1 locus=Glyma.02G120400 ID=Glyma.02G120400.1.Wm82.a,1.43814345168495,0.2086026121626306,1337740.0,3624900.0
Glyma.02G120500.1.p;Glyma.01G062300.2.p;Glyma.01G062300.1.p,,,Glyma.02G120500.1.p pacid=30509413 transcript=Glyma.02G120500.1 locus=Glyma.02G120500 ID=Glyma.02G120500.1.Wm82.a2.v1 annot-version=Wm82.a2.v1;Glyma.01G062300.2.p pacid=30544770 transcript=Glyma.01G062300.2 locus=Glyma.01G062300 ID=Glyma.01G062300.2.Wm82.a,0.4358114868657629,0.3316784983190373,6223166.666666667,8417900.0
