metabolite_kegg,uniprot_id,score
C00117,I1JK97,0.7708812355995178
C00118,C6TIM5,0.951221764087677
C00119,C6TIM5,0.9032084345817566
C00120,C6TIM5,0.9251589775085449
C00122,A0A0R4J4B4,0.9739407300949097
C00125,C6TIM5,0.8682234883308411
C00127,A0A0R4J4B4,0.9223119616508484
C00129,C6TIM5,0.7755546569824219
C00130,C6TIM5,0.8914552330970764
C00131,I1JK97,0.7097011208534241
C00132,C6TIM5,0.671780526638031
C00134,C6TIM5,0.9231905937194824
C00136,C6TIM5,0.5962679982185364
C00137,I1JK97,0.8757462501525879
C00138,A0A0R4J4B4,0.9897941946983337
C00139,A0A0R4J4B4,0.9814198017120361
C00140,I1JK97,0.7261080145835876
C00141,A0A0R4J4B4,0.9552081227302551
C00143,A0A0R4J4B4,0.8209818601608276
C00144,A0A0R0H2F3,0.842779815196991
C00147,A0A0R4J4B4,0.7854457497596741
C00148,C6TIM5,0.8140601515769958
C00149,A0A0R4J4B4,0.8851982951164246
C00151,A0A0R4J4B4,0.9768218398094177
C00152,A0A0R4J4B4,0.8576465249061584
C00153,C6TIM5,0.7814244031906128
C00154,C6TIM5,0.6366048455238342
C00155,C6TIM5,0.8836390972137451
C00157,A0A0R4J5K2,0.6131353974342346
C00159,I1JK97,0.8713527321815491
C00160,C6TIM5,0.7637768983840942
C00161,I1LW34,0.8814351558685303
C00162,C6TIM5,0.880337655544281
C00166,A0A0R4J4B4,0.9578317403793335
C00167,C6TIM5,0.78657466173172
C00168,A0A0R4J4B4,0.9158756136894226
C00170,A0A0R4J4B4,0.8957764506340027
C00173,Q2PMN4,0.5904055237770081
C00177,A0A0R4J4B4,0.875167191028595
C00188,C6TIM5,0.8634220361709595
C00189,I1JK97,0.6559013724327087
C00190,C6TIM5,0.855306088924408
C00195,I1JK97,0.6595459580421448
C00197,I1MFV2,0.5746301412582397
C00199,I1K772,0.5283892750740051
C00201,I1JK97,0.7048118114471436
C00206,I1MFV2,0.5907275676727295
C00208,K7MJI4,0.4941810071468353
C00212,I1JK97,0.6586049795150757
C00221,C6TIM5,0.7489218711853027
C00223,C6TIM5,0.6682517528533936
C00224,I1JK97,0.7508397102355957
C00229,C6TIM5,0.6222134232521057
C00234,A0A0R4J4B4,0.9638004899024963
C00235,A0A0R4J4B4,0.8795369863510132
C00236,C6TIM5,0.8295716643333435
C00237,C6TIM5,0.7808775901794434
C00239,I1K772,0.5802959203720093
C00241,C6TIM5,0.6281003355979919
C00249,A0A0R4J4B4,0.8044986724853516
C00250,I1JK97,0.7104341387748718
C00251,A0A0R4J4B4,0.925416886806488
C00254,A0A0R4J4B4,0.9469870328903198
C00255,I1JK97,0.700419545173645
C00258,I1JK97,0.8183297514915466
C00264,C6TIM5,0.7691379189491272
C00267,C6TIM5,0.7419049143791199
C00269,C6TIM5,0.7797222137451172
C00279,C6TIM5,0.9204776287078857
C00283,A0A0R4J4B4,0.8964923620223999
C00288,C6TIM5,0.8388060331344604
C00299,I1JK97,0.7985870838165283
C00301,A0A0R4J4B4,0.6324736475944519
C00311,C6TIM5,0.7785020470619202
C00314,I1JK97,0.6366631388664246
C00315,C6TIM5,0.8205114603042603
C00319,I1JK97,0.681498646736145
C00323,C6TIM5,0.7045965790748596
C00327,C6TIM5,0.9486591815948486
C00332,C6TIM5,0.849611759185791
C00342,A0A0R4J4B4,0.9167177081108093
C00343,A0A0R4J4B4,0.8956278562545776
C00345,I1NC73,0.6640552878379822
C00346,I1JK97,0.709908664226532
C00350,C6TIM5,0.6301653385162354
C00353,C6TIM5,0.922247052192688
C00354,I1JK97,0.6898550987243652
C00356,A0A0R4J4B4,0.9160840511322021
C00364,I1JK97,0.7784596681594849
C00365,I1JK97,0.7375047206878662
C00369,I1JK97,0.6772221922874451
C00378,C6TIM5,0.7739265561103821
C00389,A0A0R4J4B4,0.9670540690422058
C00390,C6TIM5,0.8752777576446533
C00399,C6TIM5,0.832808256149292
C00406,C6TIM5,0.7184401154518127
C00415,A0A0R4J4B4,0.8088098168373108
C00416,I1JK97,0.7816203832626343
C00437,C6TIM5,0.7416333556175232
C00447,I1JK97,0.7390362620353699
C00448,A0A0R4J4B4,0.9003761410713196
C00454,I1JK97,0.7893760204315186
C00455,C6TIM5,0.7676445841789246
C00470,I1JK97,0.7866019606590271
C00475,A0A0R0KHS2,0.5429677963256836
C00492,I1JK97,0.6263560652732849
C00498,I1MDK4,0.5231691002845764
C00509,C6TIM5,0.901263952255249
C00526,I1KTE1,0.5292685627937317
C00540,C6TIM5,0.7720128297805786
C00544,C6TIM5,0.9229447841644287
C00546,C6TIM5,0.9039255380630493
C00562,I1JK97,0.8350669145584106
C00585,I1JK97,0.6076419949531555
C00588,I1JK97,0.6537588834762573
C00590,I1K772,0.5564852952957153
C00605,C6TIM5,0.7291454076766968
C00613,C6TIM5,0.9157770276069641
C00631,C6TIM5,0.9015833139419556
C00636,C6TIM5,0.8017936944961548
C00641,I1JK97,0.8660809397697449
C00655,A0A0R4J4B4,0.8720209002494812
C00658,C6TIM5,0.9374678134918213
C00668,I1JK97,0.673621416091919
C00712,A0A0R4J4B4,0.9503262639045715
C00718,I1JK97,0.6008522510528564
C00814,I1JK97,0.6962757110595703
