database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	Control_1	Control_2	Control_3	Control_4	ABA_1	ABA_2	ABA_3	ABA_4	ethylene_1	ethylene_2	ethylene_3	ethylene_4	ABA_ethylene_1	ABA_ethylene_2	ABA_ethylene_3	ABA_ethylene_4
CHEBI:142263	C28H33O15+	O(C1=CC=2C(O)=CC(O)=CC2[O+]=C1C3=CC=C(C(=C3)O)OC)[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@@H]([C@H]([C@H]5O)O)O)[C@H]([C@@H]([C@H]4O)O)O	InChI=1S/C28H32O15/c1-10-20(32)22(34)24(36)27(40-10)39-9-19-21(33)23(35)25(37)28(43-19)42-18-8-13-14(30)6-12(29)7-17(13)41-26(18)11-3-4-16(38-2)15(31)5-11/h3-8,10,19-25,27-28,32-37H,9H2,1-2H3,(H2-,29,30,31)/p+1/t10-,19+,20-,21+,22+,23-,24+,25+,27+,28+/m0/s1	Isopeonidin 3-rutinoside	609.2			pos	17.89	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3847	Glycine max			MSI:2							0	0	0	0	5.18	0	0	0	5.34	0	0	0	0	0	0	0
CHEBI:142264	C23H40O4	CCCCC/C=CC/C=CCCCCCCCC(CC(CO)OC(C)=O)=O	InChI=1S/C23H40O4/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-22(26)19-23(20-24)27-21(2)25/h7-8,10-11,23-24H,3-6,9,12-20H2,1-2H3/b8-7-,11-10-	Isopersin	380.3			pos	13.6	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3847	Glycine max			MSI:2							3.68	3.76	4.05	3.97	3.99	4.02	3.98	4.04	4.04	3.88	3.8	4.15	3.8	4.01	3.9	4.06
CHEBI:142265	C20H16O5	CC(C)=CCC1=C(C=CC=2C3=C(C=4C=CC(=CC4OC3=O)O)OC12)O	InChI=1S/C20H16O5/c1-10(2)3-5-12-15(22)8-7-14-17-19(25-18(12)14)13-6-4-11(21)9-16(13)24-20(17)23/h3-4,6-9,21-22H,5H2,1-2H3	Isosojagol	336.1			pos	7.04	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3847	Glycine max			MSI:2							0	0	0	2.75	4.02	4.11	4.07	4.09	4.32	4.22	4.23	4.32	5.34	5.27	5.36	5.33
CHEBI:16467	C6H14N4O2	N[C@@H](CCCNC(N)=N)C(O)=O	InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)/t4-/m0/s1	L-Arginine	174.1			pos	0.98	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3847	Glycine max			MSI:1							3.95	4.21	4.1	4.14	4.59	4.71	4.73	4.68	5.21	5.11	5.14	5.14	5.02	5.02	5.03	5.04
CHEBI:142266	C18H24O12	O1[C@@H]([C@@H](O)[C@H](O)[C@@H](O)[C@@H]1OC2=C(OC=CC2=O)C)COC(=O)CC(O)(CC(O)=O)C	InChI=1S/C18H24O12/c1-8-16(9(19)3-4-27-8)30-17-15(25)14(24)13(23)10(29-17)7-28-12(22)6-18(2,26)5-11(20)21/h3-4,10,13-15,17,23-26H,5-7H2,1-2H3,(H,20,21)/t10-,13-,14+,15-,17+,18?/m1/s1	Licoagroside B	432.1			pos	0.97	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3847	Glycine max			MSI:2							4.78	4.71	4.83	4.85	4.73	4.78	4.84	4.78	4.26	4.15	4.25	4.34	3.34	3.78	3.21	3.52
CHEBI:92583	C18H30O2	CCC=CCC=CCC=CCCCCCCCC(=O)O	InChI=1S/C18H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h3-4,6-7,9-10H,2,5,8,11-17H2,1H3,(H,19,20)	Linolenelaidic acid	278.2			pos	10.81	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3847	Glycine max			MSI:2							4.04	4.13	4.08	4.09	3.67	3.84	3.96	4.03	4.59	4.55	4.52	4.58	4.2	4.21	4.18	4.16
CHEBI:16828	C11H12N2O2	N[C@@H](Cc1c[nH]c2ccccc12)C(O)=O	InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)/t9-/m0/s1	L-Tryptophan	204.1			pos	2.91	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3847	Glycine max			MSI:1							0	0	0	0	0	3.44	3.34	3.38	4.04	4	3.95	4.13	4.89	4.98	4.97	4.96
CHEBI:142267	C9H11NO2	CNC1=CC=CC=C1C(=O)OC	InChI=1S/C9H11NO2/c1-10-8-6-4-3-5-7(8)9(11)12-2/h3-6,10H,1-2H3	Methyl N-methylanthranilate	165.1			pos	2.92	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3847	Glycine max			MSI:2							0	0	0	0	3.55	3.99	3.95	3.97	4.45	4.42	4.43	4.47	5.19	5.24	5.24	5.23
CHEBI:75610	C21H36O4	CCC=C/CC=C/CC=C/CCCCCCCC(=O)OCC(O)CO	InChI=1S/C21H36O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-21(24)25-19-20(23)18-22/h3-4,6-7,9-10,20,22-23H,2,5,8,11-19H2,1H3/b4-3-,7-6-,10-9-	Monolinolenin (9c,12c,15c)	352.3			pos	11.87	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3847	Glycine max			MSI:1							4.77	4.8	4.77	4.8	4.61	4.55	4.57	4.57	0	0	0	0	3.48	3.62	3.2	3.53
CHEBI:7508	C23H46N6O13	NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O)[C@H]2O[C@@H]2O[C@H](CO)[C@@H](O[C@H]3O[C@@H](CN)[C@@H](O)[C@H](O)[C@H]3N)[C@H]2O)[C@H](N)[C@@H](O)[C@@H]1O	InChI=1S/C23H46N6O13/c24-2-7-13(32)15(34)10(28)21(37-7)40-18-6(27)1-5(26)12(31)20(18)42-23-17(36)19(9(4-30)39-23)41-22-11(29)16(35)14(33)8(3-25)38-22/h5-23,30-36H,1-4,24-29H2/t5-,6+,7-,8+,9-,10-,11-,12+,13-,14-,15-,16-,17-,18-,19-,20-,21-,22-,23+/m1/s1	Neomycin	614.3			pos	14.16	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3847	Glycine max			MSI:2							3.89	4.01	3.91	3.84	3.78	3.83	3.97	3.94	4.2	4.2	3.99	4.21	4.08	4.21	4.04	3.95
