gene_id	ec
100775188	6.3.2.2
100775207	3.1.3.12
100775219	3.2.1.21
100775225	3.1.1.11
100775228	1.10.3.2
100775240	2.7.7.14
100775246	3.1.1.11
100775247	2.1.1.369
100775264	2.3.1.74
100775270	3.1.13.4
100775291	3.1.30.1
100775293	3.2.1.51
100775302	1.14.11.2
100775308	5.1.3.5
100775331	2.3.1.23
100775331	2.3.1.67
100775351	2.4.1.218
100775353	1.1.1.195
100775363	3.1.3.16
100775363	3.1.3.48
100775369	2.6.1.42
100775373	5.3.99.6
100775376	1.1.3.20
100775382	1.23.1.1
100775382	1.23.1.2
100775382	1.23.1.3
100775382	1.23.1.4
100775388	2.1.1.14
100775389	2.4.2.7
100775394	1.1.1.39
100775404	3.1.1.11
100775407	2.7.1.12
100775414	3.6.1.75
100775414	3.1.3.4
100775419	3.2.1.24
100775420	2.5.1.47
100775421	2.5.1.18
100775444	2.3.1.20
100775444	2.3.1.314
100775449	2.3.1.30
100775451	2.7.11.1
100775462	2.7.11.22
100775462	2.7.11.23
100775463	5.6.1.7
100775466	2.4.1.198
100775476	3.4.11.2
100775490	1.1.1.1
100775492	2.5.1.18
100775519	1.7.7.1
100775529	2.5.1.18
100775539	3.4.19.12
100775546	2.3.1.188
100775549	2.3.1.133
100775550	2.3.2.27
100775552	2.5.1.87
100775553	2.5.1.43
100775575	5.4.99.12
100775576	2.3.2.27
100775577	3.1.3.16
100775580	1.1.1.8
100775586	2.7.1.4
100775595	4.2.2.2
100775597	1.13.11.24
100775614	2.4.2.60
100775620	2.1.1.311
100775641	4.2.1.76
100775690	3.1.1.11
100775693	1.14.11.12
100775694	5.3.99.3
100775700	3.7.1.5
100775714	4.4.1.5
100775717	2.4.1.207
100775727	7.1.2.2
100775732	2.4.1.218
100775752	3.2.1.4
100775754	2.3.2.27
100775768	2.7.11.1
100775771	1.10.3.2
100775772	3.4.17.22
100775779	2.4.1.15
100775779	3.1.3.12
100775796	5.6.2.7
100775802	2.7.11.1
100775806	1.1.1.206
100775812	3.1.3.16
100775828	2.1.3.3
100775835	2.8.1.8
100775844	4.1.2.13
100775864	7.1.3.1
100775866	2.7.1.68
100775874	3.4.24.36
100775880	1.14.19.38
100775880	1.14.19.47
100775885	2.7.11.1
100775886	1.14.19.79
100775903	2.4.1.351
100775911	1.14.14.107
100775914	2.4.1.141
100775918	3.2.1.39
100775919	6.6.1.1
100775928	1.14.11.2
100775932	3.1.13.4
100775934	7.2.2.12
100775934	7.2.2.21
100775959	2.7.11.1
100775969	4.4.1.14
100775970	1.11.1.7
100775983	2.5.1.21
100776002	2.3.2.27
100776003	2.3.2.27
100776011	1.10.3.3
100776013	2.7.11.17
100776019	1.11.1.7
100776030	3.2.1.6
100776052	2.3.1.199
100776057	1.2.1.70
100776059	4.1.1.50
100776064	2.7.11.1
100776065	2.4.1.214
100776067	3.2.1.39
100776069	2.4.1.221
100776070	2.4.1.260
100776076	2.5.1.18
100776094	1.14.11.13
100776106	1.14.13.168
100776115	1.14.11.2
100776116	2.4.1.360
100776122	7.6.2.2
100776123	5.4.99.12
100776131	2.4.2.19
100776144	4.2.1.1
100776147	2.7.1.52
100776147	2.7.7.30
100776156	3.4.19.12
100776159	1.14.11.53
100776165	2.4.1.207
100776166	2.3.3.13
100776174	3.2.1.21
100776182	1.1.3.20
100776196	2.4.1.218
100776205	2.1.1.354
100776235	2.6.1.2
100776237	1.1.1.79
100776237	1.1.1.81
100776238	5.1.3.3
100776240	2.3.1.15
100776240	2.3.1.198
100776241	4.2.1.76
100776242	2.3.1.168
100776244	3.1.1.11
100776247	3.1.3.7
100776255	5.6.2.4
100776267	3.1.3.5
100776267	3.1.3.6
100776274	2.4.1.218
100776282	3.2.1.24
100776301	1.1.1.271
100776304	1.8.1.4
100776309	7.2.2.12
100776309	7.2.2.21
100776325	2.3.2.27
100776327	3.4.23.40
100776332	4.1.1.1
100776336	2.1.1.150
100776337	4.3.3.6
100776356	3.1.3.16
100776378	2.4.1.101
100776379	6.1.1.18
100776382	2.3.1.225
100776388	2.7.11.1
100776407	2.3.1.20
100776412	3.1.1.11
100776419	2.1.2.1
100776435	1.14.11.13
100776446	2.6.1.1
100776446	2.6.1.78
100776446	2.6.1.79
100776450	3.1.2.14
100776460	3.4.11.18
100776476	1.14.19.38
100776476	1.14.19.47
100776478	3.1.1.98
100776483	3.1.4.11
100776496	1.11.1.7
100776502	1.3.5.6
100776503	2.5.1.32
100776505	1.2.1.84
100776516	2.3.2.27
100776534	2.3.2.27
100776541	2.1.1.14
100776542	2.8.2.39
100776544	3.4.21.26
100776547	2.3.2.27
100776569	2.2.1.7
100776582	3.2.1.14
100776585	2.3.1.47
100776596	7.1.1.2
100776597	2.7.1.11
100776599	2.7.13.3
100776609	3.1.2.22
100776612	4.1.99.22
100776618	2.7.11.22
100776618	2.7.11.23
100776621	2.1.1.231
100776622	6.3.5.6
100776622	6.3.5.7
100776623	3.1.1.11
100776633	2.7.7.50
100776633	3.6.1.74
100776634	3.4.24.70
100776653	3.1.11.2
100776655	5.4.99.12
100776659	2.3.2.27
100776664	4.2.2.23
100776675	2.3.1.225
100776677	4.2.1.1
100776683	7.1.1.2
100776684	5.6.2.7
100776690	2.5.1.32
100776695	2.3.1.15
100776695	2.3.1.198
100776707	1.14.11.12
100776708	3.2.1.21
100776709	3.6.5.5
100776742	3.2.1.2
100776746	3.1.26.5
100776755	1.14.11.15
100776772	1.1.1.79
100776772	1.1.1.81
100776777	2.3.1.9
100776780	2.3.1.97
100776781	3.1.1.11
100776784	2.7.11.24
100776787	3.1.3.16
100776791	3.2.1.26
100776795	3.1.3.16
100776796	2.7.11.1
100776798	2.7.13.3
100776802	3.1.1.98
100776806	2.4.1.170
100776809	2.4.1.218
100776816	2.7.7.49
100776823	2.4.1.21
100776826	3.2.1.39
100776844	2.4.1.255
100776854	2.7.11.22
100776854	2.7.11.23
100776860	2.4.1.351
100776863	2.5.1.16
100776866	2.7.4.24
100776867	3.1.3.16
100776871	3.2.1.52
100776877	3.1.3.16
100776877	3.1.3.48
100776878	1.14.14.93
100776880	2.7.7.1
100776880	2.7.7.18
100776899	2.3.2.27
100776900	5.2.1.8
100776901	2.7.1.159
100776901	2.7.1.134
100776903	3.4.11.21
100776908	2.7.11.1
100776916	2.7.1.150
100776926	7.2.2.10
100776931	6.3.5.5
100776947	2.3.1.199
100776955	7.6.2.1
100776956	2.1.1.141
100776984	2.7.1.40
100776994	2.7.1.1
100776995	2.7.11.37
100777004	3.2.1.2
100777005	2.4.1.241
100777007	2.3.1.133
100777009	2.5.1.6
100777010	3.1.4.11
100777014	2.3.1.15
100777014	2.3.1.198
100777027	6.3.4.3
100777031	2.3.2.27
100777033	1.3.3.6
100777052	3.1.2.6
100777060	6.1.1.4
100777064	5.6.2.6
100777069	2.7.1.67
100777070	1.14.11.12
100777073	4.1.3.4
100777083	3.1.1.32
100777088	5.2.1.8
100777096	2.7.11.1
100777098	2.6.1.99
100777103	2.4.2.7
100777114	5.6.2.6
100777120	2.7.7.13
100777131	2.3.2.2
100777131	3.4.19.13
100777131	3.4.19.14
100777143	7.2.2.10
100777145	6.3.5.1
100777147	4.1.1.49
100777153	1.1.3.15
100777157	2.3.1.133
100777166	1.13.11.51
100777173	6.3.4.19
100777176	3.4.19.16
100777180	3.6.1.13
100777180	3.6.1.18
100777191	1.11.1.7
100777200	4.3.1.19
100777207	4.4.1.11
100777214	2.7.11.1
100777215	2.3.2.27
100777224	1.14.11.12
100777233	1.14.11.13
100777247	3.2.1.21
100777250	2.4.1.272
100777253	2.1.1.193
100777266	1.3.1.9
100777266	1.3.1.10
100777270	2.4.1.12
100777273	2.5.1.60
100777278	2.4.1.12
100777284	2.3.2.27
100777287	3.2.1.23
100777293	3.4.14.5
100777296	1.1.1.37
100777306	1.2.4.1
100777317	1.1.1.34
100777318	2.3.2.27
100777319	4.2.1.17
100777319	1.1.1.35
100777319	1.1.1.211
100777339	3.2.1.26
100777340	2.7.1.150
100777342	2.7.7.12
100777343	2.4.1.170
100777345	2.4.1.218
100777350	2.7.11.25
100777353	1.1.1.49
100777353	1.1.1.363
100777362	2.3.2.27
100777366	3.4.19.12
100777369	2.7.4.14
100777382	7.6.2.2
100777389	7.1.1.2
100777390	1.11.1.7
100777399	1.2.1.3
100777403	2.3.1.199
100777408	2.5.1.115
100777408	2.5.1.116
100777415	3.2.1.21
100777417	5.2.1.8
100777418	3.2.1.26
100777435	6.2.1.12
100777447	6.1.1.16
100777452	2.3.2.27
100777457	2.7.1.25
100777463	1.11.1.7
100777468	2.7.11.31
100777470	2.3.1.225
100777498	3.2.1.20
100777500	3.1.1.11
100777507	4.1.1.49
100777511	1.2.1.70
100777515	2.7.1.19
100777517	2.5.1.115
100777517	2.5.1.116
100777528	1.4.4.2
100777529	2.1.1.229
100777532	2.3.1.133
100777543	2.3.2.27
100777553	3.4.24.64
100777556	1.14.11.61
100777558	1.1.1.195
100777568	1.5.99.12
100777574	4.2.1.1
100777576	2.7.11.1
100777576	2.3.2.27
