kegg_gene,uniprot
100305605,C6SVU8
100305606,C6SVU9
100305607,C6SVV0
100305608,C6SVV4
100305609,A0A0R0GNM9
100305611,C6SVW0
100305612,C6SVW3
100305613,C6SVW4
100305614,C6SVW7
100305615,C6SVW8
100305616,C6SVW9
100305617,C6SVX1
100305618,C6SVX4
100305619,C6SVX5
100305622,C6SVX9
100305623,C6SVY0
100305625,C6SVY4
100305626,C6SVY5
100305627,C6SVY6
100305628,C6SVY8
100305629,C6SVZ0
100305630,C6SVZ1
100305631,C6SVZ2
100305632,C6SVZ3
100305633,C6SVZ4
100305635,C6SVZ6
100305636,C6SVZ8
100305637,C6SVZ9
100305638,C6SW00
100305640,C6SW02
100305641,C6SW03
100305642,C6SW04
100305643,C6SW06
100305644,C6SW07
100305645,C6F117
100305646,C6SW09
100305647,C6SW14
100305648,C6SW16
100305649,C6SW18
100305650,C6SW20
100305652,C6SW21
100305653,C6SW23
100305654,C6SW25
100305655,A0A368UNC4
100305656,C6SW27
100305657,C6SW29
100305658,C6SW31
100305659,C6SW32
100305660,C6SW34
100305661,I1KJG4
100305662,C6SW40
100305663,C6SW41
100305664,C6SW42
100305666,C6SW48
100305667,C6SW51
100305669,C6SW54
100305670,C6SW55
100305671,C6SW56
100305672,I1MJZ5
100305673,C6SW59
100305675,C6SW61
100305676,C6SW62
100305677,C6SW63
100305678,C6SW64
100305679,C6SW65
100305680,C6SW66
100305681,C6SW67
100305682,C6SW70
100305683,C6SW71
100305684,C6SW74
100305685,C6SW75
100305686,C6SW78
100305687,C6SW79
100305688,C6SW80
100305689,C6SW83
100305690,C6SW85
100305691,I1LPI3
100305693,C6SW89
100305694,C6SW91
100305695,C6SW90
100305696,C6SW93
100305698,C6SW96
100305699,C6SW98
100305700,C6SW97
100305701,C6SW99
100305702,C6SWA0
100305703,I1LV25
100305704,C6SWA3
100305705,C6SWA6
100305706,C6SWA5
100305707,C6SWA8
100305708,C6SWA7
100305709,C6SWB0
100305710,C6SWB3
100305711,C6SWB4
100305712,C6SWB5
100305713,C6SWB6
100305714,C6SWB8
100305715,C6SWB7
100305716,C6SWC1
100305718,C6SWC4
100305720,C6SWD0
100305721,C6SWD1
100305722,C6SWD3
100305723,C6SWD4
100305724,C6SWD5
100305725,C6SWD7
100305726,C6SWD9
100305727,C6SWE1
100305728,C6SWE4
100305729,C6SWE7
100305730,C6SWE6
100305731,C6SWE9
100305732,C6SWE8
100305733,C6SWF4
100305734,C6SWF7
