enzyme_ec	metabolite_id	reaction_id	is_substrate	is_product
1.11.1.27	C15498	R12578	True	False
1.11.1.27	C00051	R12578	True	False
1.11.1.27	C00127	R12578	False	True
1.11.1.6	C00132	R00602	True	False
1.11.1.6	C00067	R00602	False	True
1.11.1.6	C00704	R02670	False	True
1.11.1.6	C05640	R02670	False	True
1.11.1.6	C00007	R02670	True	False
1.11.1.6	C00632	R02670	True	False
1.11.1.7	C15805	R02596	False	True
1.11.1.7	C00590	R02596	True	False
1.11.1.7	C02325	R03919	True	False
1.11.1.7	C15806	R03919	False	True
1.11.1.7	C02646	R04007	True	False
1.11.1.7	C15804	R04007	False	True
1.11.1.7	C12205	R07443	True	False
1.11.1.7	C15807	R07443	False	True
1.11.1.7	C00132	R00602	True	False
1.11.1.7	C00067	R00602	False	True
1.11.1.7	C00030	R03532	True	False
1.11.1.7	C00028	R03532	False	True
1.11.1.9	C00051	R00274	True	False
1.11.1.9	C00127	R00274	False	True
1.11.2.3	C00712	R09462	True	False
1.11.2.3	C00069	R09462	False	True
1.11.2.3	C01025	R09462	True	False
1.11.2.3	C19418	R09462	False	True
1.11.2.3	C19620	R09463	False	True
1.11.2.3	C19616	R09463	True	False
1.13.11.12	C16321	R07864	False	True
1.13.11.12	C00007	R07864	True	False
1.13.11.12	C06427	R07864	True	False
1.13.11.12	C04717	R03626	False	True
1.13.11.12	C01595	R03626	True	False
1.13.11.12	C04785	R07869	False	True
1.13.11.18	C00094	R08678	False	True
1.13.11.18	C00007	R08678	True	False
1.13.11.18	C17267	R08678	True	False
1.13.11.18	C00051	R08678	False	True
1.13.11.18	C21787	R11946	False	True
1.13.11.24	C00007	R02156	True	False
1.13.11.24	C00237	R02156	False	True
1.13.11.24	C00389	R02156	True	False
1.13.11.24	C04524	R02156	False	True
1.13.11.27	C05852	R01372	False	True
1.13.11.27	C00166	R01372	True	False
1.13.11.27	C00007	R01372	True	False
1.13.11.27	C00544	R02521	False	True
1.13.11.27	C01179	R02521	True	False
1.13.11.5	C00007	R02519	True	False
1.13.11.5	C00544	R02519	True	False
1.13.11.5	C01036	R02519	False	True
1.13.11.51	C13453	R09682	False	True
1.13.11.51	C00007	R09682	True	False
1.13.11.51	C19811	R09682	True	False
1.13.11.51	C19812	R09682	False	True
1.13.11.51	C14045	R06953	False	True
1.13.11.51	C13433	R06953	True	False
1.13.11.51	C13431	R06952	True	False
1.13.11.51	C14044	R06952	False	True
1.13.11.53	C00007	R07363	True	False
1.13.11.53	C08276	R07363	False	True
1.13.11.53	C15606	R07363	True	False
1.13.11.53	C00237	R07363	False	True
1.13.11.53	C00058	R07363	False	True
1.13.11.54	C01180	R07364	False	True
1.13.11.54	C00007	R07364	True	False
1.13.11.54	C15606	R07364	True	False
1.13.11.54	C00058	R07364	False	True
1.13.11.58	C01595	R07057	True	False
1.13.11.58	C00007	R07057	True	False
1.13.11.58	C14827	R07057	False	True
1.13.11.68	C12287	R10557	False	True
1.13.11.68	C20484	R10557	True	False
1.13.11.68	C00007	R10557	True	False
1.13.11.68	C20692	R10557	False	True
1.13.11.69	C20694	R10558	False	True
1.13.11.69	C00007	R10558	True	False
1.13.11.69	C20692	R10558	True	False
1.13.11.69	C20693	R10558	False	True
1.13.11.70	C20696	R10560	False	True
1.13.11.70	C00007	R10560	True	False
1.13.11.70	C20697	R10560	False	True
1.13.11.70	C20695	R10560	True	False
1.13.11.81	C00007	R11037	True	False
